timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1619513733205,331,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513733270,341,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,5,0,0
1619513733262,375,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,6,0,0
1619513733363,356,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,5,0,0
1619513733503,326,GetFileStream,200,OK,Scenario 1 1-5,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513733537,353,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513733611,353,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513733638,328,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513733720,354,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513733830,364,GetFileStream,200,OK,Scenario 1 1-5,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,11,0,0
1619513733890,330,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513733965,352,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513733966,353,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,7,0,0
1619513734075,339,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513734195,347,GetFileStream,200,OK,Scenario 1 1-5,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,2,0,0
1619513734220,347,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513734320,328,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513734318,351,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,5,0,0
1619513734415,323,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513734542,345,GetFileStream,200,OK,Scenario 1 1-5,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513734567,327,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513734648,345,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513734670,352,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513734739,346,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513734895,340,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,7,0,0
1619513734888,351,GetFileStream,200,OK,Scenario 1 1-5,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,6,0,0
1619513734994,342,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513735022,343,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513735085,333,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513735239,340,GetFileStream,200,OK,Scenario 1 1-5,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,6,0,0
1619513735235,365,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513735337,339,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,6,0,0
1619513735366,325,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,5,0,0
1619513735418,349,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513735579,332,GetFileStream,200,OK,Scenario 1 1-5,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513735600,366,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513735676,329,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513735692,342,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,2,0,0
1619513735767,325,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,5,0,0
1619513735912,343,GetFileStream,200,OK,Scenario 1 1-5,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513735967,350,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513736006,333,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513736034,353,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513736092,350,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513736255,339,GetFileStream,200,OK,Scenario 1 1-5,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513736317,340,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513736339,319,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513736387,323,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513736441,338,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513736594,396,GetFileStream,200,OK,Scenario 1 1-5,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,7,0,0
1619513736656,369,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513736659,370,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513736711,382,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513736779,387,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513736990,339,GetFileStream,200,OK,Scenario 1 1-5,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513737025,336,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513737030,339,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,6,0,0
1619513737093,334,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513737166,353,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513737329,353,GetFileStream,200,OK,Scenario 1 1-5,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513737362,337,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513737369,331,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513737428,335,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,5,0,0
1619513737519,327,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513737700,323,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,5,0,0
